dteday,yr,mnth,hr,holiday,weekday,weathersit,temp,hum,windspeed,cnt,cnt_log1p
2011-01-08,0,1,2,0,6,2,0.18,0.55,0.0,16,2.833213344056216
2011-01-08,0,1,3,0,6,3,0.18,0.55,0.1642,7,2.0794415416798357
2011-01-08,0,1,4,0,6,3,0.18,0.55,0.1642,1,0.6931471805599453
2011-01-08,0,1,5,0,6,2,0.16,0.74,0.1642,5,1.791759469228055
2011-01-08,0,1,6,0,6,2,0.16,0.74,0.1642,2,1.0986122886681098
2011-01-08,0,1,7,0,6,2,0.16,0.74,0.1045,9,2.302585092994046
2011-01-08,0,1,8,0,6,3,0.16,0.93,0.1045,15,2.772588722239781
2011-01-08,0,1,9,0,6,3,0.16,0.93,0.1045,20,3.044522437723423
2011-01-08,0,1,10,0,6,2,0.18,0.8,0.1642,61,4.127134385045092
2011-01-08,0,1,11,0,6,2,0.2,0.69,0.3881,62,4.143134726391533
2011-01-08,0,1,12,0,6,2,0.2,0.59,0.3582,98,4.59511985013459
2011-01-08,0,1,13,0,6,1,0.2,0.44,0.3284,102,4.634728988229636
2011-01-08,0,1,14,0,6,1,0.2,0.32,0.4925,95,4.564348191467836
2011-01-08,0,1,15,0,6,1,0.2,0.32,0.4478,74,4.31748811353631
2011-01-08,0,1,16,0,6,1,0.18,0.29,0.4478,76,4.343805421853684
2011-01-08,0,1,17,0,6,1,0.16,0.37,0.5522,69,4.248495242049359
2011-01-08,0,1,18,0,6,1,0.14,0.39,0.2985,55,4.02535169073515
2011-01-08,0,1,19,0,6,1,0.14,0.36,0.2537,30,3.4339872044851463
2011-01-08,0,1,20,0,6,1,0.12,0.36,0.2537,28,3.367295829986474
2011-01-08,0,1,21,0,6,1,0.12,0.39,0.3582,37,3.6375861597263857
2011-01-08,0,1,22,0,6,1,0.12,0.36,0.3881,34,3.5553480614894135
2011-01-08,0,1,23,0,6,1,0.1,0.39,0.4478,22,3.1354942159291497
2011-01-09,0,1,0,0,0,1,0.1,0.42,0.3881,25,3.258096538021482
2011-01-09,0,1,1,0,0,1,0.1,0.42,0.4627,12,2.5649493574615367
2011-01-09,0,1,2,0,0,1,0.1,0.46,0.4627,11,2.4849066497880004
2011-01-09,0,1,3,0,0,1,0.1,0.46,0.4179,4,1.6094379124341003
2011-01-09,0,1,4,0,0,1,0.08,0.53,0.194,1,0.6931471805599453
2011-01-09,0,1,5,0,0,1,0.08,0.53,0.194,1,0.6931471805599453
2011-01-09,0,1,6,0,0,1,0.1,0.49,0.2836,1,0.6931471805599453
2011-01-09,0,1,7,0,0,1,0.08,0.53,0.194,6,1.9459101490553132
2011-01-09,0,1,8,0,0,1,0.1,0.49,0.2836,10,2.3978952727983707
2011-01-09,0,1,9,0,0,1,0.12,0.46,0.5224,19,2.995732273553991
2011-01-09,0,1,10,0,0,1,0.14,0.43,0.3881,49,3.912023005428146
2011-01-09,0,1,11,0,0,1,0.16,0.4,0.5224,49,3.912023005428146
2011-01-09,0,1,12,0,0,1,0.18,0.37,0.4478,83,4.430816798843313
2011-01-09,0,1,13,0,0,1,0.2,0.34,0.4478,75,4.330733340286331
2011-01-09,0,1,14,0,0,1,0.22,0.32,0.4627,72,4.290459441148391
2011-01-09,0,1,15,0,0,1,0.22,0.35,0.3582,82,4.418840607796598
2011-01-09,0,1,16,0,0,1,0.2,0.34,0.4478,92,4.532599493153256
2011-01-09,0,1,17,0,0,1,0.18,0.37,0.3881,62,4.143134726391533
2011-01-09,0,1,18,0,0,1,0.16,0.4,0.3284,48,3.8918202981106265
2011-01-09,0,1,19,0,0,1,0.16,0.43,0.3284,41,3.7376696182833684
2011-01-09,0,1,20,0,0,1,0.14,0.46,0.2537,38,3.6635616461296463
2011-01-09,0,1,21,0,0,1,0.14,0.46,0.4179,20,3.044522437723423
2011-01-09,0,1,22,0,0,1,0.14,0.46,0.2985,15,2.772588722239781
2011-01-09,0,1,23,0,0,1,0.12,0.5,0.194,6,1.9459101490553132
2011-01-10,0,1,0,0,1,1,0.12,0.5,0.2836,5,1.791759469228055
2011-01-10,0,1,1,0,1,1,0.12,0.5,0.2836,1,0.6931471805599453
2011-01-10,0,1,2,0,1,1,0.12,0.5,0.2239,3,1.3862943611198906
2011-01-10,0,1,3,0,1,1,0.12,0.5,0.2239,1,0.6931471805599453
2011-01-10,0,1,4,0,1,1,0.1,0.54,0.1343,3,1.3862943611198906
2011-01-10,0,1,5,0,1,1,0.1,0.54,0.2537,3,1.3862943611198906
2011-01-10,0,1,6,0,1,1,0.12,0.5,0.2836,31,3.4657359027997265
2011-01-10,0,1,7,0,1,1,0.12,0.5,0.2239,77,4.356708826689592
2011-01-10,0,1,8,0,1,2,0.12,0.5,0.2836,188,5.241747015059643
2011-01-10,0,1,9,0,1,2,0.14,0.5,0.2537,94,4.553876891600541
2011-01-10,0,1,10,0,1,2,0.14,0.5,0.2985,31,3.4657359027997265
2011-01-10,0,1,11,0,1,2,0.16,0.47,0.2836,30,3.4339872044851463
2011-01-10,0,1,12,0,1,2,0.2,0.4,0.2836,52,3.970291913552122
2011-01-10,0,1,13,0,1,2,0.2,0.4,0.2836,54,4.007333185232471
2011-01-10,0,1,14,0,1,2,0.2,0.4,0.2239,47,3.871201010907891
2011-01-10,0,1,15,0,1,2,0.2,0.4,0.2239,45,3.828641396489095
2011-01-10,0,1,16,0,1,1,0.2,0.4,0.1343,74,4.31748811353631
2011-01-10,0,1,17,0,1,1,0.2,0.4,0.1045,178,5.187385805840755
2011-01-10,0,1,18,0,1,1,0.2,0.4,0.2239,155,5.049856007249537
2011-01-10,0,1,19,0,1,1,0.16,0.47,0.1642,95,4.564348191467836
2011-01-10,0,1,20,0,1,1,0.16,0.5,0.1642,74,4.31748811353631
2011-01-10,0,1,21,0,1,1,0.14,0.59,0.194,38,3.6635616461296463
2011-01-10,0,1,22,0,1,1,0.14,0.59,0.1642,24,3.2188758248682006
2011-01-10,0,1,23,0,1,1,0.14,0.59,0.1642,18,2.9444389791664403
2011-01-12,0,1,0,0,3,2,0.16,0.86,0.0896,7,2.0794415416798357
2011-01-12,0,1,1,0,3,2,0.16,0.86,0.1045,6,1.9459101490553132
2011-01-12,0,1,2,0,3,1,0.14,0.86,0.1343,1,0.6931471805599453
2011-01-12,0,1,5,0,3,1,0.14,0.86,0.1642,5,1.791759469228055
2011-01-12,0,1,6,0,3,1,0.12,0.93,0.1343,16,2.833213344056216
2011-01-12,0,1,7,0,3,1,0.14,0.69,0.1343,54,4.007333185232471
2011-01-12,0,1,8,0,3,1,0.16,0.59,0.1642,128,4.859812404361672
2011-01-12,0,1,9,0,3,1,0.16,0.59,0.3284,81,4.406719247264253
2011-01-12,0,1,10,0,3,1,0.18,0.55,0.2239,39,3.6888794541139363
2011-01-12,0,1,11,0,3,1,0.2,0.51,0.3881,35,3.58351893845611
2011-01-12,0,1,12,0,3,1,0.2,0.47,0.5821,55,4.02535169073515
2011-01-12,0,1,13,0,3,1,0.22,0.44,0.3582,49,3.912023005428146
2011-01-12,0,1,14,0,3,1,0.2,0.47,0.3284,44,3.8066624897703196
2011-01-12,0,1,15,0,3,1,0.2,0.47,0.4179,49,3.912023005428146
2011-01-12,0,1,16,0,3,1,0.22,0.44,0.3284,68,4.23410650459726
2011-01-12,0,1,17,0,3,1,0.2,0.47,0.3582,139,4.941642422609304
2011-01-12,0,1,18,0,3,1,0.2,0.47,0.5224,137,4.927253685157205
2011-01-12,0,1,19,0,3,1,0.18,0.47,0.4179,83,4.430816798843313
2011-01-12,0,1,20,0,3,1,0.16,0.5,0.3284,56,4.04305126783455
2011-01-12,0,1,21,0,3,1,0.16,0.55,0.3284,57,4.060443010546419
2011-01-12,0,1,22,0,3,1,0.16,0.55,0.4478,33,3.5263605246161616
2011-01-12,0,1,23,0,3,1,0.14,0.59,0.4179,20,3.044522437723423
2011-01-13,0,1,0,0,4,1,0.14,0.59,0.2836,7,2.0794415416798357
2011-01-13,0,1,1,0,4,1,0.14,0.5,0.2836,2,1.0986122886681098
2011-01-13,0,1,2,0,4,1,0.14,0.5,0.3582,2,1.0986122886681098
2011-01-13,0,1,3,0,4,1,0.14,0.5,0.3284,3,1.3862943611198906
2011-01-13,0,1,4,0,4,1,0.14,0.5,0.2537,4,1.6094379124341003
2011-01-13,0,1,5,0,4,1,0.14,0.5,0.2985,3,1.3862943611198906
2011-01-13,0,1,6,0,4,1,0.12,0.54,0.1343,28,3.367295829986474
2011-01-13,0,1,7,0,4,1,0.12,0.54,0.1343,72,4.290459441148391
2011-01-13,0,1,8,0,4,1,0.14,0.5,0.194,202,5.313205979041787
2011-01-13,0,1,9,0,4,1,0.14,0.5,0.3284,139,4.941642422609304
2011-01-13,0,1,10,0,4,2,0.16,0.5,0.3582,38,3.6635616461296463
2011-01-13,0,1,11,0,4,2,0.2,0.44,0.4478,37,3.6375861597263857
2011-01-13,0,1,12,0,4,1,0.2,0.44,0.4179,52,3.970291913552122
2011-01-13,0,1,13,0,4,1,0.22,0.41,0.4478,83,4.430816798843313
2011-01-13,0,1,14,0,4,1,0.22,0.41,0.3881,42,3.7612001156935624
2011-01-13,0,1,15,0,4,1,0.24,0.38,0.2985,60,4.110873864173311
2011-01-13,0,1,16,0,4,1,0.24,0.38,0.3582,78,4.3694478524670215
2011-01-13,0,1,17,0,4,1,0.2,0.4,0.2836,162,5.093750200806762
2011-01-13,0,1,18,0,4,1,0.2,0.4,0.3284,144,4.976733742420574
2011-01-13,0,1,19,0,4,1,0.16,0.47,0.2537,99,4.605170185988092
2011-01-13,0,1,20,0,4,1,0.16,0.47,0.2239,64,4.174387269895637
2011-01-13,0,1,21,0,4,1,0.14,0.46,0.2985,40,3.713572066704308
2011-01-13,0,1,22,0,4,1,0.14,0.46,0.3284,30,3.4339872044851463
2011-01-13,0,1,23,0,4,1,0.12,0.5,0.194,15,2.772588722239781
2011-01-14,0,1,0,0,5,1,0.12,0.5,0.194,14,2.70805020110221
2011-01-14,0,1,1,0,5,1,0.1,0.54,0.1642,5,1.791759469228055
2011-01-14,0,1,2,0,5,1,0.1,0.54,0.1343,1,0.6931471805599453
2011-01-14,0,1,3,0,5,1,0.1,0.54,0.1045,1,0.6931471805599453
2011-01-14,0,1,5,0,5,1,0.1,0.54,0.0896,8,2.1972245773362196
2011-01-14,0,1,6,0,5,1,0.1,0.54,0.0,17,2.8903717578961645
2011-01-14,0,1,7,0,5,1,0.1,0.74,0.1642,70,4.2626798770413155
2011-01-14,0,1,8,0,5,1,0.12,0.68,0.0,158,5.0689042022202315
2011-01-14,0,1,9,0,5,1,0.14,0.69,0.1343,117,4.770684624465665
2011-01-14,0,1,10,0,5,1,0.18,0.55,0.194,44,3.8066624897703196
2011-01-14,0,1,11,0,5,1,0.18,0.51,0.2836,53,3.9889840465642745
2011-01-14,0,1,12,0,5,1,0.2,0.44,0.2537,61,4.127134385045092
2011-01-14,0,1,13,0,5,1,0.22,0.37,0.3881,77,4.356708826689592
2011-01-14,0,1,14,0,5,1,0.22,0.41,0.2836,64,4.174387269895637
2011-01-14,0,1,15,0,5,1,0.24,0.38,0.1642,68,4.23410650459726
2011-01-14,0,1,16,0,5,1,0.22,0.41,0.1045,90,4.51085950651685
2011-01-14,0,1,17,0,5,1,0.22,0.41,0.1642,159,5.075173815233827
2011-01-14,0,1,18,0,5,1,0.2,0.47,0.0,139,4.941642422609304
2011-01-14,0,1,19,0,5,1,0.16,0.59,0.0896,92,4.532599493153256
2011-01-14,0,1,20,0,5,1,0.18,0.59,0.0,68,4.23410650459726
2011-01-14,0,1,21,0,5,1,0.16,0.69,0.0,52,3.970291913552122
2011-01-14,0,1,22,0,5,2,0.16,0.69,0.0,36,3.6109179126442243
2011-01-14,0,1,23,0,5,2,0.18,0.55,0.0,27,3.332204510175204
2011-01-15,0,1,0,0,6,1,0.18,0.55,0.0,28,3.367295829986474
2011-01-15,0,1,1,0,6,2,0.16,0.59,0.0896,20,3.044522437723423
2011-01-15,0,1,2,0,6,2,0.16,0.59,0.0896,12,2.5649493574615367
2011-01-15,0,1,3,0,6,2,0.16,0.59,0.0,8,2.1972245773362196
2011-01-15,0,1,4,0,6,2,0.16,0.59,0.0,5,1.791759469228055
2011-01-15,0,1,5,0,6,1,0.16,0.59,0.0,1,0.6931471805599453
2011-01-15,0,1,6,0,6,1,0.14,0.63,0.1045,3,1.3862943611198906
2011-01-15,0,1,7,0,6,1,0.14,0.63,0.0,10,2.3978952727983707
2011-01-15,0,1,8,0,6,1,0.14,0.63,0.1343,23,3.1780538303479458
2011-01-15,0,1,9,0,6,1,0.16,0.64,0.1343,33,3.5263605246161616
2011-01-15,0,1,10,0,6,1,0.18,0.59,0.1642,59,4.0943445622221
2011-01-15,0,1,11,0,6,1,0.2,0.55,0.2239,72,4.290459441148391
2011-01-15,0,1,12,0,6,1,0.24,0.48,0.2239,89,4.499809670330265
2011-01-15,0,1,13,0,6,1,0.28,0.38,0.2985,101,4.624972813284271
2011-01-15,0,1,14,0,6,1,0.3,0.39,0.2836,118,4.77912349311153
2011-01-15,0,1,15,0,6,2,0.32,0.36,0.194,129,4.867534450455582
2011-01-15,0,1,16,0,6,2,0.34,0.34,0.194,128,4.859812404361672
2011-01-15,0,1,17,0,6,2,0.32,0.36,0.2836,83,4.430816798843313
2011-01-15,0,1,18,0,6,2,0.3,0.45,0.2537,84,4.442651256490317
2011-01-15,0,1,19,0,6,2,0.32,0.39,0.2537,74,4.31748811353631
2011-01-15,0,1,20,0,6,2,0.32,0.39,0.2537,41,3.7376696182833684
2011-01-15,0,1,21,0,6,2,0.32,0.39,0.2239,57,4.060443010546419
2011-01-15,0,1,22,0,6,2,0.3,0.42,0.1045,26,3.295836866004329
2011-01-15,0,1,23,0,6,1,0.3,0.45,0.2836,44,3.8066624897703196
2011-01-16,0,1,0,0,0,1,0.26,0.56,0.0,39,3.6888794541139363
2011-01-16,0,1,1,0,0,1,0.26,0.56,0.1343,23,3.1780538303479458
2011-01-16,0,1,2,0,0,1,0.26,0.56,0.0896,16,2.833213344056216
2011-01-16,0,1,3,0,0,1,0.22,0.69,0.0,15,2.772588722239781
2011-01-16,0,1,4,0,0,1,0.26,0.56,0.1642,1,0.6931471805599453
2011-01-16,0,1,5,0,0,2,0.26,0.56,0.1642,2,1.0986122886681098
2011-01-16,0,1,6,0,0,2,0.26,0.56,0.1642,1,0.6931471805599453
2011-01-16,0,1,7,0,0,2,0.24,0.56,0.2985,3,1.3862943611198906
2011-01-16,0,1,8,0,0,1,0.22,0.55,0.2836,18,2.9444389791664403
2011-01-16,0,1,9,0,0,1,0.22,0.51,0.2537,32,3.4965075614664802
2011-01-16,0,1,10,0,0,1,0.22,0.51,0.2836,79,4.382026634673881
2011-01-16,0,1,11,0,0,1,0.24,0.44,0.2537,93,4.543294782270004
2011-01-16,0,1,12,0,0,1,0.24,0.41,0.2836,104,4.653960350157523
2011-01-16,0,1,13,0,0,1,0.26,0.35,0.2985,118,4.77912349311153
2011-01-16,0,1,14,0,0,1,0.28,0.36,0.2537,91,4.5217885770490405
2011-01-16,0,1,15,0,0,1,0.26,0.38,0.2537,113,4.736198448394496
2011-01-16,0,1,16,0,0,1,0.24,0.38,0.2239,99,4.605170185988092
2011-01-16,0,1,17,0,0,1,0.22,0.37,0.2537,105,4.663439094112067
2011-01-16,0,1,18,0,0,1,0.2,0.4,0.1642,67,4.219507705176107
2011-01-16,0,1,19,0,0,1,0.18,0.47,0.1343,61,4.127134385045092
2011-01-16,0,1,20,0,0,1,0.18,0.47,0.1642,57,4.060443010546419
2011-01-16,0,1,21,0,0,1,0.18,0.51,0.1642,28,3.367295829986474
2011-01-16,0,1,22,0,0,2,0.2,0.49,0.1343,21,3.091042453358316
2011-01-16,0,1,23,0,0,2,0.2,0.4,0.1045,18,2.9444389791664403
2011-01-17,0,1,0,1,1,2,0.2,0.47,0.2239,17,2.8903717578961645
2011-01-17,0,1,1,1,1,2,0.2,0.44,0.194,16,2.833213344056216
2011-01-17,0,1,2,1,1,2,0.18,0.43,0.2537,8,2.1972245773362196
2011-01-17,0,1,3,1,1,2,0.18,0.43,0.194,2,1.0986122886681098
2011-01-17,0,1,4,1,1,2,0.18,0.43,0.1343,3,1.3862943611198906
2011-01-17,0,1,5,1,1,2,0.18,0.43,0.1642,1,0.6931471805599453
2011-01-17,0,1,6,1,1,2,0.18,0.43,0.194,5,1.791759469228055
2011-01-17,0,1,7,1,1,2,0.16,0.5,0.1343,13,2.6390573296152584
2011-01-17,0,1,8,1,1,2,0.16,0.47,0.2239,33,3.5263605246161616
2011-01-17,0,1,9,1,1,2,0.16,0.47,0.2239,47,3.871201010907891
2011-01-17,0,1,10,1,1,2,0.16,0.5,0.2537,57,4.060443010546419
2011-01-17,0,1,11,1,1,2,0.16,0.55,0.194,64,4.174387269895637
2011-01-17,0,1,12,1,1,2,0.18,0.47,0.1343,80,4.394449154672439
2011-01-17,0,1,13,1,1,2,0.18,0.47,0.1343,93,4.543294782270004
2011-01-17,0,1,14,1,1,2,0.18,0.43,0.1045,86,4.465908118654584
2011-01-17,0,1,15,1,1,2,0.2,0.47,0.1642,93,4.543294782270004
2011-01-17,0,1,16,1,1,2,0.2,0.47,0.1642,82,4.418840607796598
2011-01-17,0,1,17,1,1,1,0.2,0.51,0.194,71,4.276666119016055
2011-01-17,0,1,18,1,1,2,0.18,0.55,0.2537,92,4.532599493153256
2011-01-17,0,1,19,1,1,3,0.18,0.59,0.194,60,4.110873864173311
2011-01-17,0,1,20,1,1,3,0.16,0.8,0.194,33,3.5263605246161616
2011-01-17,0,1,21,1,1,3,0.16,0.8,0.194,27,3.332204510175204
2011-01-17,0,1,22,1,1,3,0.14,0.93,0.2537,13,2.6390573296152584
2011-01-17,0,1,23,1,1,3,0.16,0.86,0.2836,4,1.6094379124341003
